SecCode,File,ProposalName,ProposalContent,ProposalCandidate,ProposalResult,ProposalVote
77350,77350_20240624.htm,第１号議案,剰余金の処分の件。期末配当は当社普通株式１株につき金140円とする。,,可決,99.0
77350,77350_20240624.htm,第２号議案,取締役８名選任の件,垣内永次,可決,94.8
77350,77350_20240624.htm,第２号議案,取締役８名選任の件,廣江敏朗,可決,97.0
77350,77350_20240624.htm,第２号議案,取締役８名選任の件,近藤洋一,可決,97.8
77350,77350_20240624.htm,第２号議案,取締役８名選任の件,石川義久,可決,98.8
77350,77350_20240624.htm,第２号議案,取締役８名選任の件,高須秀視,可決,98.9
77350,77350_20240624.htm,第２号議案,取締役８名選任の件,奥平寛子,可決,98.4
77350,77350_20240624.htm,第２号議案,取締役８名選任の件,楢原誠慈,可決,98.9
77350,77350_20240624.htm,第２号議案,取締役８名選任の件,佐藤文一,可決,99.0
77350,77350_20240624.htm,第３号議案,監査役４名選任の件,太田祐史,可決,94.4
77350,77350_20240624.htm,第３号議案,監査役４名選任の件,朝永正雄,可決,91.4
77350,77350_20240624.htm,第３号議案,監査役４名選任の件,吉川哲朗,可決,98.9
77350,77350_20240624.htm,第３号議案,監査役４名選任の件,横山誠二,可決,98.9
77350,77350_20240624.htm,第４号議案,補欠監査役１名選任の件,伊藤知之,可決,99.1
88180,88180_20240624.htm,第１号議案,剰余金の配当の件,null,可决,94.6
88180,88180_20240624.htm,第２号議案,取締役７名選任の件,南　浩一,可决,93.5
88180,88180_20240624.htm,第２号議案,取締役７名選任の件,若林　常夫,可决,94.1
88180,88180_20240624.htm,第２号議案,取締役７名選任の件,浅草　嘉一,可决,94.4
88180,88180_20240624.htm,第２号議案,取締役７名選任の件,吉田　享司,可决,94.3
88180,88180_20240624.htm,第２号議案,取締役７名選任の件,野村　雅男,可决,94.3
88180,88180_20240624.htm,第２号議案,取締役７名選任の件,竹田　千穂,可决,94.3
88180,88180_20240624.htm,第２号議案,取締役７名選任の件,宮野谷　篤,可决,94.4
88180,88180_20240624.htm,第３号議案,修正ＰＢＲ１倍以上を目指す計画の策定及び開示に係る定款変更の件,null,否决,90.9
88180,88180_20240624.htm,第４号議案,取締役に対する株価条件型譲渡制限付株式付与のための報酬決定の件,null,否决,85.9
76020,76020_20240627.htm,第１号議案,"剰余金処分の件。当社普通株式１株につき金１円、総額20,730,100円の配当。効力発生日：2024年６月27日",,可決,99.6
76020,76020_20240627.htm,第２号議案,"定款一部変更（商号変更）の件。当社の商号を「株式会社レダックス（英文：Ledax Co.,Ltd.）」に変更。商号変更の効力は、2024年９月１日",,可決,99.7
76020,76020_20240627.htm,第３号議案,定款一部変更（目的事項の追加）の件。事業内容の拡大および今後の事業展開に備えるため、第２条（目的）に目的事項を追加,,可決,99.8
76020,76020_20240627.htm,第４号議案,取締役６名選任の件,加畑　雅之,可決,99.5
76020,76020_20240627.htm,第４号議案,取締役６名選任の件,長倉　統己,可決,99.5
76020,76020_20240627.htm,第４号議案,取締役６名選任の件,平野　忠邦,可決,99.5
76020,76020_20240627.htm,第４号議案,取締役６名選任の件,内田　輝紀,可決,99.5
76020,76020_20240627.htm,第４号議案,取締役６名選任の件,長尾　和彦,可決,99.4
76020,76020_20240627.htm,第４号議案,取締役６名選任の件,笠井　学,可決,99.5
70390,70390_20240329.htm,第１号議案,"剰余金処分の件
事業年度末の剰余金の配当に関する事項
当社普通株式1株につき金35円　総額131,187,385円",,可決,99.62
70390,70390_20240329.htm,第２号議案,"定款一部変更の件
（１）当社の定款に規定のない2024年3月15日吸収合併の２ＢＣ株式会社の事業目的を追加することとし、それに伴い号数等を変更するものであります。
（２）取締役の経営責任を明確にし、経営環境の変化に迅速に対応できる体制を構築するため、取締役の任期を２年から１年に短縮するものであります。なお、変更後の任期は、本総会で選任される取締役から適用されます。
（３）機動的な資本政策及び配当政策を図るため、剰余金の配当等の決議を取締役会決議により行うことが可能となるよう、所要の変更を行うものであります。",,可決,97.42
70390,70390_20240329.htm,第３号議案,"取締役５名選任の件
取締役として、吉田融正、塩澤正枝、八木敏英、髙橋慎介及び岡村典の各氏を選任するものであります。",吉田融正,可決,91.32
70390,70390_20240329.htm,第３号議案,"取締役５名選任の件
取締役として、吉田融正、塩澤正枝、八木敏英、髙橋慎介及び岡村典の各氏を選任するものであります。",塩澤正枝,可決,99.57
70390,70390_20240329.htm,第３号議案,"取締役５名選任の件
取締役として、吉田融正、塩澤正枝、八木敏英、髙橋慎介及び岡村典の各氏を選任するものであります。",八木敏英,可決,99.58
70390,70390_20240329.htm,第３号議案,"取締役５名選任の件
取締役として、吉田融正、塩澤正枝、八木敏英、髙橋慎介及び岡村典の各氏を選任するものであります。",髙橋慎介,可決,99.58
70390,70390_20240329.htm,第３号議案,"取締役５名選任の件
取締役として、吉田融正、塩澤正枝、八木敏英、髙橋慎介及び岡村典の各氏を選任するものであります。",岡村典,可決,99.48
70390,70390_20240329.htm,第４号議案,"監査役１名選任の件
監査役として、和田隆志氏を選任するものであります。",和田隆志,可決,99.33
94380,94380_20241223.htm,第１号議案,剰余金処分の件,,可決,99.99
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,前多　俊宏,可決,96.32
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,泉　博史,可決,99.72
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,松本　博,可決,99.72
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,石川　幸一,可決,99.72
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,一ノ倉　悠,可決,99.71
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,周　牧之,可決,99.71
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,山本　晶,可決,99.71
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,土屋　了介,可決,99.7
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,和田　英明,可決,95.88
94380,94380_20241223.htm,第２号議案,取締役10名選任の件,石川　雄三,可決,99.29
94380,94380_20241223.htm,第３号議案,監査役１名選任の件,笠原　智恵,可決,99.98
81580,81580_20240626.htm,第１号議案,取締役７名選任の件,長洲崇彦,可決,86.38
81580,81580_20240626.htm,第１号議案,取締役７名選任の件,目﨑龍二,可決,86.58
81580,81580_20240626.htm,第１号議案,取締役７名選任の件,松尾保幸,可決,98.36
81580,81580_20240626.htm,第１号議案,取締役７名選任の件,池田　純,可決,98.06
81580,81580_20240626.htm,第１号議案,取締役７名選任の件,古川裕二,可決,98.13
81580,81580_20240626.htm,第１号議案,取締役７名選任の件,西山佳宏,可決,98.25
81580,81580_20240626.htm,第１号議案,取締役７名選任の件,松村眞理子,可決,96.75
81580,81580_20240626.htm,第２号議案,監査役１名選任の件,鈴木麻里,可決,98.34
31980,31980_20240527.htm,第１号議案,取締役(監査等委員である取締役を除く。)４名選任の件,佐藤誠,可決,95.13
31980,31980_20240527.htm,第１号議案,取締役(監査等委員である取締役を除く。)４名選任の件,坂本聡,可決,97.9
31980,31980_20240527.htm,第１号議案,取締役(監査等委員である取締役を除く。)４名選任の件,池田宏,可決,97.74
31980,31980_20240527.htm,第１号議案,取締役(監査等委員である取締役を除く。)４名選任の件,加藤裕,可決,97.73
31980,31980_20240527.htm,第２号議案,監査等委員である取締役３名選任の件,髙見由香里,可決,97.74
31980,31980_20240527.htm,第２号議案,監査等委員である取締役３名選任の件,柿田徳広,可決,97.73
31980,31980_20240527.htm,第２号議案,監査等委員である取締役３名選任の件,石井祐輔,可決,97.71
31980,31980_20240527.htm,第３号議案,取締役(監査等委員である取締役及び社外取締役を除く。)に対する譲渡制限付株式の付与のための報酬決定の件,N/A,可決,96.65
74560,74560_20240703.htm,第１号議案,剰余金処分の件,,可決,96.6
74560,74560_20240703.htm,第２号議案,取締役（監査等委員であるものを除く。)７名選任の件,松田　芳明,可決,89.19
74560,74560_20240703.htm,第２号議案,取締役（監査等委員であるものを除く。)７名選任の件,對馬　浩二,可決,97.97
74560,74560_20240703.htm,第２号議案,取締役（監査等委員であるものを除く。)７名選任の件,山﨑　隆一,可決,97.96
74560,74560_20240703.htm,第２号議案,取締役（監査等委員であるものを除く。)７名選任の件,石禾　健二,可決,97.99
74560,74560_20240703.htm,第２号議案,取締役（監査等委員であるものを除く。)７名選任の件,上田　雄大,可決,97.99
74560,74560_20240703.htm,第２号議案,取締役（監査等委員であるものを除く。)７名選任の件,和田　正幸,可決,97.99
74560,74560_20240703.htm,第２号議案,取締役（監査等委員であるものを除く。)７名選任の件,今井　英人,可決,97.94
74560,74560_20240703.htm,第３号議案,退任取締役（監査等委員であるものを除く。）に対し退職慰労金贈呈の件,,可決,78.04
74560,74560_20240703.htm,第４号議案,監査等委員である取締役に対する退職慰労金制度廃止に伴う退職慰労金打ち切り支給の件,,可決,81.54
173A0,173A0_20240627.htm,第１号議案,取締役5名選任の件,若山大典、冨來美穂子、中山憲二、小林保裕、後藤恒久,可決,100.0
173A0,173A0_20240627.htm,第２号議案,監査役1名選任の件,西尾公伸,可決,100.0
173A0,173A0_20240627.htm,第３号議案,退任監査役に対する退職慰労金支給及び役員退職慰労金制度廃止に伴う打切り支給の件,髙藤栄治、若山大典、冨來美穂子、中山憲二、小林保裕、後藤恒久、二宮真司、大庭崇彦,可決,100.0
87140,87140_20240703.htm,第１号議案,剰余金処分の件,null,可決,97.47
87140,87140_20240703.htm,第２号議案,取締役９名選任の件,鵜川　淳,可決,90.0
87140,87140_20240703.htm,第２号議案,取締役９名選任の件,太田　享之,可決,89.93
87140,87140_20240703.htm,第２号議案,取締役９名選任の件,和田　季之,可決,96.69
87140,87140_20240703.htm,第２号議案,取締役９名選任の件,阪口　広一,可決,95.59
87140,87140_20240703.htm,第２号議案,取締役９名選任の件,塚越　治,可決,95.56
87140,87140_20240703.htm,第２号議案,取締役９名選任の件,小笠原　敦子,可決,96.98
87140,87140_20240703.htm,第２号議案,取締役９名選任の件,中川　喜博,可決,95.39
87140,87140_20240703.htm,第２号議案,取締役９名選任の件,金子　啓子,可決,95.97
87140,87140_20240703.htm,第２号議案,取締役９名選任の件,久川　秀仁,可決,95.9
87140,87140_20240703.htm,第３号議案,監査役１名選任の件,有元　英也,可決,90.97
87140,87140_20240703.htm,第４号議案,補欠監査役１名選任の件,福田　健次,可決,97.4
87140,87140_20240703.htm,第５号議案,定款一部変更の件,null,否決,7.97
52500,52500_20240927.htm,取締役（監査等委員である取締役を除く。）１名選任の件,取締役（監査等委員である取締役を除く。）として、吉政忠志氏を選任する,吉政忠志,可決,99.33
23400,23400_20240627.htm,第１号議案,取締役７名選任の件,新川 隆丈,可決,97.14
23400,23400_20240627.htm,第１号議案,取締役７名選任の件,山本 真司,可決,97.46
23400,23400_20240627.htm,第１号議案,取締役７名選任の件,佐藤 剛史,可決,97.46
23400,23400_20240627.htm,第１号議案,取締役７名選任の件,後藤 研二,可決,97.34
23400,23400_20240627.htm,第１号議案,取締役７名選任の件,上野 建太郎,可決,97.36
23400,23400_20240627.htm,第１号議案,取締役７名選任の件,市山 勉,可決,97.33
23400,23400_20240627.htm,第１号議案,取締役７名選任の件,小林 豪,可決,97.37
23400,23400_20240627.htm,第２号議案,監査役１名選任の件,鈴木 陽子,可決,97.5
24540,24540_20240626.htm,取締役（監査等委員である取締役を除く。）６名選任の件,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏を取締役（監査等委員である取締役を除く。）に選任する,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏,可決,91.38
24540,24540_20240626.htm,取締役（監査等委員である取締役を除く。）６名選任の件,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏を取締役（監査等委員である取締役を除く。）に選任する,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏,可決,91.71
24540,24540_20240626.htm,取締役（監査等委員である取締役を除く。）６名選任の件,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏を取締役（監査等委員である取締役を除く。）に選任する,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏,可決,91.71
24540,24540_20240626.htm,取締役（監査等委員である取締役を除く。）６名選任の件,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏を取締役（監査等委員である取締役を除く。）に選任する,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏,可決,91.79
24540,24540_20240626.htm,取締役（監査等委員である取締役を除く。）６名選任の件,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏を取締役（監査等委員である取締役を除く。）に選任する,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏,可決,91.72
24540,24540_20240626.htm,取締役（監査等委員である取締役を除く。）６名選任の件,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏を取締役（監査等委員である取締役を除く。）に選任する,江幡哲也、森田恭弘、宮﨑秀幸、土門裕之、石澤顕、伊藤邦宏,可決,91.81
94020,94020_20240702.htm,第１号議案,剰余金の処分の件,,可決,96.83
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,杉浦正樹,可決,95.2
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,升家誠司,可決,95.19
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,大石幼一,可決,95.42
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,岡谷篤一,可決,95.36
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,安井香一,可決,95.44
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,茶村俊一,可決,93.56
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,池田桂子,可決,97.58
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,安藤隆司,可決,96.76
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,臼田信行,可決,96.67
94020,94020_20240702.htm,第２号議案,取締役14名選任の件,佐々木卓,可決,96.79
