io_sector_id,io_sector_name_ja,top_upstream_ids,top_upstream_names_ja,top_downstream_ids,top_downstream_names_ja,upstream_weights,downstream_weights
003,漁業,"001,005,009","農業,飲食料品,化学製品","005,028","飲食料品,商業","0.35,0.25,0.10","0.60,0.20"
004,鉱業,"001,009,014","農業,化学製品,鉄鋼","009,010,014,015","化学製品,石油石炭,鉄鋼,非鉄金属","0.20,0.30,0.20","0.25,0.20,0.25,0.15"
005,飲食料品,"001,003,009,028","農業,漁業,化学製品,商業","028,031,037","商業,運輸,その他サービス","0.30,0.15,0.15,0.10","0.50,0.10,0.20"
006,繊維,"001,009,005","農業,化学製品,飲食料品","006,028,037","繊維,商業,その他サービス","0.25,0.20,0.10","0.30,0.40,0.15"
007,パルプ・紙・紙製品,"001,009,004","農業,化学製品,鉱業","008,028,037","印刷,商業,その他サービス","0.30,0.20,0.10","0.25,0.35,0.20"
008,印刷,"007,009,032","紙,化学,情報通信","028,032,037","商業,情報通信,その他","0.20,0.15,0.15","0.35,0.25,0.20"
009,化学製品,"004,001,014","鉱業,農業,鉄鋼","011,012,005,006","プラ,ゴム,食料品,繊維","0.25,0.15,0.20","0.20,0.10,0.15,0.10"
010,石油・石炭製品,"004,009","鉱業,化学","009,017,023,031","化学,機械,輸送機械,運輸","0.60,0.20","0.10,0.15,0.20,0.25"
011,プラスチック製品,"009,004","化学,鉱業","016,017,022,023","金属製品,機械,ICT,輸送","0.40,0.20","0.15,0.20,0.15,0.20"
012,ゴム製品,"009,011","化学,プラ","023,017","輸送機械,機械","0.40,0.20","0.60,0.20"
013,窯業・土石製品,"004,009,014","鉱業,化学,鉄鋼","025,017,013","建設,機械,窯業","0.25,0.20,0.15","0.35,0.20,0.15"
014,鉄鋼,"004,015,010","鉱業,非鉄金属,石油石炭","016,017,023,025","金属製品,機械,輸送,建設","0.35,0.15,0.15","0.25,0.20,0.25,0.15"
015,非鉄金属,"004,014,009","鉱業,鉄鋼,化学","016,020,021,023","金属製品,電子部品,電機,輸送","0.35,0.15,0.10","0.20,0.30,0.20,0.15"
016,金属製品,"014,015,009","鉄鋼,非鉄金属,化学","017,018,025,023","機械,生産機械,建設,輸送","0.45,0.15,0.10","0.25,0.20,0.25,0.15"
017,はん用機械,"016,014,009","金属製品,鉄鋼,化学","018,023,025,031","生産機械,輸送,建設,運輸","0.30,0.20,0.15","0.20,0.25,0.20,0.15"
018,生産用機械,"016,014,020","金属製品,鉄鋼,電子","017,023,025","機械,輸送,建設","0.30,0.20,0.15","0.15,0.30,0.25"
019,業務用機械,"016,020,021","金属製品,電子,電機","034,035,037","教育,医療,その他","0.25,0.20,0.15","0.30,0.30,0.20"
020,電子部品・デバイス,"015,009,021","非鉄金属,化学,電機","021,022,019,023","電機,ICT機器,業務機械,輸送","0.30,0.20,0.15","0.25,0.30,0.15,0.15"
021,電気機械,"016,020,015","金属製品,電子,非鉄金属","025,026,023,037","建設,電力ガス,輸送,サービス","0.25,0.20,0.15","0.20,0.15,0.20,0.20"
022,情報・通信機器,"020,016,021","電子,金属製品,電機","032,034,037","情報通信,教育,その他","0.35,0.20,0.15","0.35,0.20,0.25"
023,輸送機械,"014,016,012","鉄鋼,金属製品,ゴム","028,031,037","商業,運輸,サービス","0.35,0.20,0.10","0.45,0.15,0.20"
024,その他製造,"016,009,007","金属製品,化学,紙","028,037","商業,その他","0.25,0.20,0.15","0.50,0.30"
025,建設,"013,014,021","窯業,鉄鋼,電機","030,037","不動産,その他","0.15,0.30,0.10","0.60,0.20"
026,電力・ガス・熱供給,"004,010,009","鉱業,石油石炭,化学","全産業","全産業(最終需要)","0.30,0.30,0.15","横断的"
028,商業,"031,032,029","運輸,情報通信,金融","全産業","最終需要(小売)","0.15,0.10,0.10","横断的"
029,金融,"032,037,030","情報通信,サービス,不動産","全産業","全産業(資金需要)","0.20,0.15,0.10","横断的"
030,不動産,"025,037","建設,サービス","全産業","家計・法人","0.40,0.20","横断的"
031,運輸・郵便,"010,026,021","石油石炭,電力ガス,電機","028,全産業","商業・全産業","0.30,0.20,0.10","横断的"
032,情報通信サービス,"022,032,020","ICT機器,情報通信,電子","全産業","DX需要・全産業","0.15,0.25,0.10","横断的"
035,医療・福祉,"019,009,037","業務機械,化学,サービス","037","最終個人","0.20,0.15,0.20","横断的"
037,その他サービス,"032,031,029","情報通信,運輸,金融","全産業","最終需要","0.15,0.15,0.10","横断的"
