,Date,Code,LongSellValue,ShortSellWithoutMarginValue,MarginSellNewValue,MarginSellCloseValue,LongBuyValue,MarginBuyNewValue,MarginBuyCloseValue,LongSellVolume,ShortSellWithoutMarginVolume,MarginSellNewVolume,MarginSellCloseVolume,LongBuyVolume,MarginBuyNewVolume,MarginBuyCloseVolume
2738,2025-10-06,65940,10480708300.0,5492869750.0,463768350.0,2152070350.0,15930722000.0,2201071800.0,457622950.0,3977200.0,2089900.0,175700.0,815700.0,6048700.0,836200.0,173600.0
2730,2025-10-07,65940,7790400000.0,3431743800.0,299961500.0,797960900.0,11485770650.0,559992250.0,274303300.0,2954600.0,1304500.0,113700.0,302300.0,4358700.0,212300.0,104100.0
2725,2025-10-08,65940,9509709350.0,2324836750.0,386314250.0,828565000.0,12159419600.0,541306800.0,348698950.0,3595600.0,878900.0,146000.0,313200.0,4597200.0,204800.0,131700.0
2725,2025-10-09,65940,8718749150.0,4099826600.0,391801700.0,1774046150.0,13034511800.0,1666516250.0,283395550.0,3255200.0,1531100.0,146400.0,662800.0,4865500.0,624200.0,105800.0
2723,2025-10-10,65940,10781498100.0,4160577300.0,338802550.0,1387100950.0,14807556150.0,1369029200.0,491393550.0,4010500.0,1548200.0,125700.0,514800.0,5506700.0,509600.0,182900.0
2735,2025-10-14,65940,11296066650.0,10258393900.0,410441000.0,1536243850.0,19133815250.0,3690136300.0,677193850.0,4423000.0,4015200.0,160900.0,599600.0,7493200.0,1440900.0,264600.0
2724,2025-10-15,65940,6763784100.0,3795251100.0,197890050.0,1056455600.0,10352148600.0,1215409650.0,245822600.0,2653700.0,1489100.0,77400.0,413500.0,4061100.0,476300.0,96300.0
2712,2025-10-16,65940,16397091500.0,4895199050.0,280992650.0,1324865600.0,19333839600.0,3258768450.0,305540750.0,6531400.0,1947700.0,111600.0,526800.0,7697800.0,1298200.0,121500.0
2702,2025-10-17,65940,9626012400.0,2330270350.0,216186550.0,713510700.0,11950463150.0,761477900.0,174038950.0,3864500.0,935400.0,86700.0,286200.0,4797000.0,306000.0,69800.0
2728,2025-10-20,65940,7619085500.0,2180549350.0,557054300.0,1504179600.0,11056050400.0,572659100.0,232159250.0,2992500.0,855500.0,218900.0,590700.0,4341200.0,225300.0,91100.0
2714,2025-10-21,65940,8067916650.0,2219288700.0,822844700.0,1856557950.0,11763222550.0,949770650.0,253614800.0,3119200.0,858800.0,318000.0,719300.0,4549200.0,368000.0,98100.0
2713,2025-10-22,65940,8793505600.0,2061656350.0,913588800.0,881750650.0,11145636400.0,804756950.0,700108050.0,3375400.0,791600.0,351200.0,338600.0,4279200.0,309400.0,268200.0
2723,2025-10-23,65940,8358663750.0,4968632550.0,295993150.0,861374350.0,12346654400.0,1862372100.0,275637300.0,3278900.0,1950200.0,116100.0,337800.0,4844000.0,730900.0,108100.0
2725,2025-10-24,65940,35425332300.0,7865030750.0,11789470150.0,11012021750.0,47635141650.0,9298764550.0,9157948750.0,14854400.0,3282100.0,4959200.0,4655500.0,20014900.0,3914000.0,3822300.0
2739,2025-10-27,65940,14684837650.0,3827225100.0,2510094550.0,4392470300.0,20359855500.0,1972693400.0,3082078700.0,5766600.0,1502700.0,987100.0,1719200.0,7990900.0,774700.0,1210000.0
2725,2025-10-28,65940,51402500500.0,13190199250.0,2921998950.0,12247040000.0,64868131550.0,12609256050.0,2284351100.0,24755200.0,6349300.0,1406000.0,5884100.0,31232800.0,6062800.0,1099000.0
2723,2025-10-29,65940,94047577850.0,40413261450.0,11450874500.0,21375800200.0,128411681650.0,28890962250.0,9984870100.0,48264600.0,20858400.0,5901500.0,11047700.0,66059900.0,14870200.0,5142100.0
2713,2025-10-30,65940,73957938250.0,53701947050.0,7803334550.0,10595309950.0,124912162500.0,12901471300.0,8244896000.0,37003500.0,27121000.0,3915600.0,5297700.0,62737600.0,6469100.0,4131100.0
2729,2025-10-31,65940,125996189500.0,95525924000.0,9725001800.0,9249689350.0,217546295050.0,13049058950.0,9901450650.0,67638400.0,51389900.0,5289200.0,5018700.0,116909000.0,7076600.0,5350600.0
2739,2025-11-04,65940,65496838000.0,33994278600.0,4395880900.0,6585747500.0,96627039400.0,9604272300.0,4241433300.0,33991500.0,17626600.0,2298300.0,3441500.0,50123500.0,5015200.0,2219200.0
2739,2025-11-05,65940,46257694600.0,11486312300.0,2393794900.0,6134656900.0,57509768600.0,5498742300.0,3263947800.0,22769800.0,5662300.0,1180700.0,3018400.0,28315800.0,2706900.0,1608500.0
