date,title,url,year,language,stock_code,company_name
2024-06-14,NOTICE OF THE 109th ORDINARY GENERAL SHAREHOLDERS’ MEETING,https://www2.jpx.co.jp/disc/13320/140120240613528458.pdf,2024,English,13320,ニッスイ
2024-05-31,第109期定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/13320/140120240530514870.pdf,2024,Japanese,13320,ニッスイ
2024-05-31,第109期定時株主総会その他の電子提供措置事項（交付書面省略事項）,https://www2.jpx.co.jp/disc/13320/140120240530514871.pdf,2024,Japanese,13320,ニッスイ
2023-06-20,NOTICE OF THE 108th ORDINARY GENERAL SHAREHOLDERS’ MEETING,https://www2.jpx.co.jp/disc/13320/140120230619505914.pdf,2023,English,13320,ニッスイ
2023-05-31,第108期定時株主総会その他の電子提供措置事項（交付書面省略事項）,https://www2.jpx.co.jp/disc/13320/140120230530588451.pdf,2023,Japanese,13320,ニッスイ
2023-05-31,第108期定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/13320/140120230530588450.pdf,2023,Japanese,13320,ニッスイ
2022-06-14,NOTICE OF THE 107th ORDINARY GENERAL SHAREHOLDERS’ MEETING,https://www2.jpx.co.jp/disc/13320/140120220613578323.pdf,2022,English,13320,ニッスイ
2022-06-14,「第107期定時株主総会招集ご通知」の一部修正について,https://www2.jpx.co.jp/disc/13320/140120220613578322.pdf,2022,Japanese,13320,ニッスイ
2022-05-31,第107期定時株主総会招集ご通知,https://www2.jpx.co.jp/disc/13320/140120220530563453.pdf,2022,Japanese,13320,ニッスイ
2022-05-31,第107期定時株主総会招集ご通知に際してのインターネット開示事項,https://www2.jpx.co.jp/disc/13320/140120220530563454.pdf,2022,Japanese,13320,ニッスイ
2021-06-17,「第106期定時株主総会招集ご通知」の一部修正について,https://www2.jpx.co.jp/disc/13320/140120210616450010.pdf,2021,Japanese,13320,ニッスイ
2021-06-17,(Updated)Partial amendment of “NOTICE OF THE 106th ORDINARY GENERAL SHAREHOLDERS’ MEETING”,https://www2.jpx.co.jp/disc/13320/140120210616450011.pdf,2021,English,13320,ニッスイ
